state,date,population
Johor,01/01/2020,4009.7
Kedah,01/01/2020,2131.4
Kelantan,01/01/2020,1792.5
Melaka,01/01/2020,998.4
Negeri Sembilan,01/01/2020,1200
Pahang,01/01/2020,1591.3
Perak,01/01/2020,2496
Perlis,01/01/2020,284.9
Pulau Pinang,01/01/2020,1740.4
Sabah,01/01/2020,3418.8
Sarawak,01/01/2020,2453.7
Selangor,01/01/2020,6994.4
Terengganu,01/01/2020,1149.4
Kuala Lumpur,01/01/2020,1982.1
Labuan,01/01/2020,95.1
Putrajaya,01/01/2020,109.2
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,