state,sector,date,value
Johor,domestic,01/01/2021,879
Kedah,domestic,01/01/2021,590
Kelantan,domestic,01/01/2021,171
Melaka,domestic,01/01/2021,230
Negeri Sembilan,domestic,01/01/2021,327
Pahang,domestic,01/01/2021,391
Perak,domestic,01/01/2021,703
Perlis,domestic,01/01/2021,80
Pulau Pinang,domestic,01/01/2021,547
Sabah,domestic,01/01/2021,425
Sarawak,domestic,01/01/2021,579
Selangor,domestic,01/01/2021,2294
Terengganu,domestic,01/01/2021,302
Labuan,domestic,01/01/2021,20
Kuala Lumpur,domestic,01/01/2021,
Putrajaya,domestic,01/01/2021,